state,tin,state-code
andhra-pradesh,37,AD
arunachal-pradesh,12,AR
assam,18,AS
bihar,10,BR
chattisgarh,22,CG
delhi,7,DL
goa,30,GA
gujarat,24,GJ
haryana,6,HR
himachal-pradesh,2,HP
jammu-and-kashmir,1,JK
jharkhand,20,JH
karnataka,29,KA
kerala,32,KL
lakshadweep-islands,31,LD
madhya-pradesh,23,MP
maharashtra,27,MH
manipur,14,MN
meghalaya,17,ML
mizoram,15,MZ
nagaland,13,NL
odisha,21,OD
pondicherry,34,PY
punjab,3,PB
rajasthan,8,RJ
sikkim,11,SK
tamil-nadu,33,TN
telangana,36,TS
tripura,16,TR
uttar-pradesh,9,UP
uttarakhand,5,UK
west-bengal,19,WB
andaman-and-nicobar-islands,35,AN
chandigarh,4,CH
dadra-&-nagar-haveli-and-daman-&-diu,26,DNHDD
ladakh,38,LA
other-territory,97,OT
